post_id,title,content,x_axis,y_axis,status,tweet_id,tweet_url,hook_type,emotional_appeal,tone,uses_numbers,character_count,sentiment_score,time_band,day_of_week,likes_5h,retweets_5h,impressions_5h,post_source,quote_source_username,quote_source_followers,quote_link_type
24c88842-067d-4e00-863f-601283e9cea3,表面利回りと実質利回りの落とし穴,"「利回り8%」に飛びついて失敗する人が後を絶たない🚨

広告の利回りは「表面」。実際は管理費・固定資産税・空室損を引くと5%台まで落ちる物件が大半。

さらに築古なら修繕積立・原状回復で年20〜30万の追加コストも。

実質利回り＝（年収入－年経費）÷購入総額。この計算を自分でできない人は買うのを待ってほしい。",3,2,published,2029749153392382191,https://x.com/i/web/status/2029749153392382191,その他,危機感,警告的,TRUE,156,-1,M3,金,6,0,896,system_original,,,
d3c5b062-3bb3-42fa-b416-44529e4adfbc,融資前に確認すべき7つのチェックリスト,"融資を通すより「通した後」に後悔する人が多い。🏦

金利・期間・返済比率だけ見て契約すると、空室が2ヶ月続いた瞬間にキャッシュが死ぬ。

銀行は「返せるか」を見るが、投資家は「空いても耐えられるか」を見ないといけない。

融資前に確認すべき数字は7つある。これを知らずにハンコ押したら危険。",2,4,published,2030033833132016019,https://x.com/i/web/status/2030033833132016019,その他,危機感,実践的,TRUE,145,-1,M1,土,5,0,392,system_original,,,
93caeafc-b395-44a1-a680-e6170ba80ce5,都心vs郊外：投資物件エリア比較分析,"「都心は高いから郊外で」と即決する前に見てほしい数字がある。

都心1R：表面利回り4%・空室率3%・10年後売却価格維持率90%
郊外1R：表面利回り8%・空室率18%・10年後売却価格維持率55%

利回りの差より、空室損と出口価格の差が最終収支を決める。
高利回りは「リスクの価格」だと覚えておこう。📊",1,5,published,2030128457171226807,https://x.com/i/web/status/2030128457171226807,その他,危機感,分析的,TRUE,154,-1,M3,土,0,0,55,system_original,,,
42f2457c-67d1-4067-9467-5a7870f841cd,物件購入前チェックリスト完全版,"物件を買う前に「この9項目」を確認しない人が失敗します。

✅ 最寄り駅まで徒歩10分以内か
✅ 築年数と修繕履歴は一致しているか
✅ 空室率が周辺平均より高くないか
✅ 売却時の出口利回りを試算したか

業者に急かされて「なんとなく良さそう」で買うのが最大のリスク。
数字で確認できない物件には、必ず理由がある。🔍",1,4,published,2030311895832609063,https://x.com/i/web/status/2030311895832609063,その他,危機感,実践的,TRUE,158,-1,other,日,0,0,37,system_original,,,
0ff86525-3cb6-496e-b286-d7917c43c458,駅距離×利回りの落とし穴を数字で見る,"「駅5分以内なら安心」は半分だけ正しい。📊

実データを見ると、徒歩5分物件でも
空室率12〜18%のエリアが普通に存在する。

重要なのは「駅距離」より
「人口動態×賃料下落率×利回り」の3点セット。

駅近・高利回り物件ほど
出口価格が読みにくいケースが多い。

買う前に数字を揃えてから判断する習慣が
失敗を防ぐ唯一の方法。",1,2,published,2030313440141832666,https://x.com/i/web/status/2030313440141832666,その他,危機感,分析的,TRUE,165,-1,other,日,1,0,40,system_original,,,
cfeeadc2-1db4-479a-b864-5078ce7e569f,フルローン失敗の典型パターン,"フルローンで買えた＝正解、じゃない。

自己資金ゼロで1棟購入した投資家の末路を見てきた。
金利1.8%・35年・4,500万円で月返済約14.2万。
満室なら回るが、空室率20%で即赤字。
修繕積立ゼロなら10年後に詰む。

業者が「融資通りますよ」と言う時、
それはあなたの収支ではなく、自分の成約を見てる。

融資枠≠投資適格。数字で判断して。📊",2,3,published,2030400073113473306,https://x.com/i/web/status/2030400073113473306,その他,危機感,警告的,TRUE,176,-1,M1,日,4,0,536,system_original,,,
3db9d6e0-946d-4c28-8e81-a55d30e2983b,融資ローン よくある誤解3選,"「年収500万あれば融資通る」は半分ウソ🏦

銀行が実際に見ているのは
年収より「属性スコア」の総合点。

勤続年数・自己資金・他社借入残高・
物件の収益性——この4つが揃って初めて
ローンは動く。

年収だけ高くても
消費者金融の残高が100万あれば否決。

「なんとなく申し込んで撃沈」が
一番もったいない。

事前に数字を整理してから動く人が
最終的に良い物件を取れる。",2,7,published,2030405370527830351,https://x.com/i/web/status/2030405370527830351,体験談,危機感,教育的,TRUE,188,-1,M1,日,2,0,163,system_original,,,
555767c8-7441-4fa8-b88f-9327a66549b4,エリア分析よくある誤解3選,"「駅近なら安心」は半分しか正しくない。🏠

駅徒歩5分でも、乗降客数が年1%ずつ減っている路線なら10年後の賃料は今より8〜12%落ちる試算が出る。

重要なのは「今の利便性」より「20年後の人口動態」。

国交省の地域未来予測データは無料で見られる。買う前に必ず確認したい。",1,7,published,2030481337124290582,https://x.com/i/web/status/2030481337124290582,その他,危機感,教育的,TRUE,138,-1,M3,日,0,0,42,system_original,,,
c52cb6d7-e8a2-4a3d-84cb-938ca2a6efc6,エリア分析失敗3大パターン警告,"「駅近だから安心」で買って後悔した人の話🚨

実は「駅近」より先に見るべき数字がある。

①賃貸需要の母数（就業者・学生数）
②競合物件の空室率（半径500m以内）
③人口動態（5年後の予測値）

この3つを調べずに購入した場合、表面利回り8%でも実質3%台に沈むケースが頻発している。

エリアの「今」だけ見て「将来」を見ない。これが物件選びで最もよくある失敗構造だ。",1,3,published,2030570502973198590,https://x.com/i/web/status/2030570502973198590,その他,危機感,警告的,TRUE,185,-1,E1,日,1,0,56,system_original,,,
02cd7a32-5da1-4a3a-8ab6-d9b7557b0eb0,新築ワンルーム業者の罠を数字で暴く,"新築ワンルーム、買う前に知っておけ。

業者が見せる「利回り5%」は表面利回り。
管理費・修繕積立金・固定資産税を引くと
実質2〜3%台になることが普通にある。

3000万円の物件で年60万円の手取りを期待しても
実際は30万円台というケースは珍しくない。

数字の裏を必ず自分で計算する。それだけで失敗の7割は防げる。📊",3,6,published,2030581709809528942,https://x.com/i/web/status/2030581709809528942,その他,危機感,警告的,TRUE,162,-1,E1,日,3,0,102,system_original,,,
